,Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Tipo de delito,Subtipo de delito,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
31,2015,1,Aguascalientes,1001,Aguascalientes,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,8,9,10,13,0,6,2,0,0,0,0,2
129,2015,1,Aguascalientes,1002,Asientos,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,1,0,0,0,0,0
227,2015,1,Aguascalientes,1003,Calvillo,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,1
325,2015,1,Aguascalientes,1004,Cosío,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
423,2015,1,Aguascalientes,1005,Jesús María,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,2,2,0,0,0,0,0,0,1,0,0,0
521,2015,1,Aguascalientes,1006,Pabellón de Arteaga,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,1,0,0,0,0,0,0,0,0,0
619,2015,1,Aguascalientes,1007,Rincón de Romos,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,1,1,0,0,0,0,1,0,0,0,0,0
717,2015,1,Aguascalientes,1008,San José de Gracia,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
815,2015,1,Aguascalientes,1009,Tepezalá,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
913,2015,1,Aguascalientes,1010,El Llano,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
1011,2015,1,Aguascalientes,1011,San Francisco de los Romo,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
1109,2015,2,Baja California,2001,Ensenada,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,6,9,11,14,15,6,10,9,15,20,12,12
1207,2015,2,Baja California,2002,Mexicali,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,13,18,15,16,25,19,22,29,20,23,22,20
1305,2015,2,Baja California,2003,Tecate,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,3,5,3,4,2,2,2,1,4,5
1403,2015,2,Baja California,2004,Tijuana,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,18,15,21,21,31,36,39,44,31,35,30,32
1501,2015,2,Baja California,2005,Playas de Rosarito,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,2,0,5,0,1,2,2,5,4,6,4,1
1599,2015,3,Baja California Sur,3001,Comondú,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,1,0,1,1,2,0,0,0,0,1
1697,2015,3,Baja California Sur,3002,Mulegé,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,1,0,1,0,0,0,1,0,0,0,0
1795,2015,3,Baja California Sur,3003,La Paz,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,1,1,4,2,0,0,0,0,0,2,7
1893,2015,3,Baja California Sur,3008,Los Cabos,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,1,0,0,0,1,1,0,0,0,0,0,3
1991,2015,3,Baja California Sur,3009,Loreto,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,1,0,0,0,0,0
2089,2015,4,Campeche,4001,Calkiní,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
2187,2015,4,Campeche,4002,Campeche,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,2,0,0
2285,2015,4,Campeche,4003,Carmen,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,1,1,0
2383,2015,4,Campeche,4004,Champotón,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
2481,2015,4,Campeche,4005,Hecelchakán,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
2579,2015,4,Campeche,4006,Hopelchén,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
2677,2015,4,Campeche,4007,Palizada,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
2775,2015,4,Campeche,4008,Tenabo,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,1,0,0,0,0,0,0,0
2873,2015,4,Campeche,4009,Escárcega,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,1,0,0
2971,2015,4,Campeche,4010,Calakmul,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
3069,2015,4,Campeche,4011,Candelaria,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,1,0,0,0,0,0,0
3167,2015,5,Coahuila de Zaragoza,5001,Abasolo,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
3265,2015,5,Coahuila de Zaragoza,5002,Acuña,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
3363,2015,5,Coahuila de Zaragoza,5003,Allende,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
3461,2015,5,Coahuila de Zaragoza,5004,Arteaga,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
3559,2015,5,Coahuila de Zaragoza,5005,Candela,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
3657,2015,5,Coahuila de Zaragoza,5006,Castaños,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
3755,2015,5,Coahuila de Zaragoza,5007,Cuatro Ciénegas,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
3853,2015,5,Coahuila de Zaragoza,5008,Escobedo,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
3951,2015,5,Coahuila de Zaragoza,5009,Francisco I. Madero,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
4049,2015,5,Coahuila de Zaragoza,5010,Frontera,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,1,0,0,0,0,0,0,0
4147,2015,5,Coahuila de Zaragoza,5011,General Cepeda,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
4245,2015,5,Coahuila de Zaragoza,5012,Guerrero,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
4343,2015,5,Coahuila de Zaragoza,5013,Hidalgo,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
4441,2015,5,Coahuila de Zaragoza,5014,Jiménez,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
4539,2015,5,Coahuila de Zaragoza,5015,Juárez,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
4637,2015,5,Coahuila de Zaragoza,5016,Lamadrid,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
4735,2015,5,Coahuila de Zaragoza,5017,Matamoros,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
4833,2015,5,Coahuila de Zaragoza,5018,Monclova,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,1,0,0,0,0,1
4931,2015,5,Coahuila de Zaragoza,5019,Morelos,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
5029,2015,5,Coahuila de Zaragoza,5020,Múzquiz,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,1,0,0,0,0,0,0,0,0,0
5127,2015,5,Coahuila de Zaragoza,5021,Nadadores,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
5225,2015,5,Coahuila de Zaragoza,5022,Nava,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
5323,2015,5,Coahuila de Zaragoza,5023,Ocampo,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
5421,2015,5,Coahuila de Zaragoza,5024,Parras,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
5519,2015,5,Coahuila de Zaragoza,5025,Piedras Negras,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,1,0,0,0,0,0
5617,2015,5,Coahuila de Zaragoza,5026,Progreso,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
5715,2015,5,Coahuila de Zaragoza,5027,Ramos Arizpe,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
5813,2015,5,Coahuila de Zaragoza,5028,Sabinas,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
5911,2015,5,Coahuila de Zaragoza,5029,Sacramento,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
6009,2015,5,Coahuila de Zaragoza,5030,Saltillo,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,2,1,0,1,1,0,0,2,0,1
6107,2015,5,Coahuila de Zaragoza,5031,San Buenaventura,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
6205,2015,5,Coahuila de Zaragoza,5032,San Juan de Sabinas,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
6303,2015,5,Coahuila de Zaragoza,5033,San Pedro,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
6401,2015,5,Coahuila de Zaragoza,5034,Sierra Mojada,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
6499,2015,5,Coahuila de Zaragoza,5035,Torreón,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,1,0,0,0,0,0,0,0,1,0,1
6597,2015,5,Coahuila de Zaragoza,5036,Viesca,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
6695,2015,5,Coahuila de Zaragoza,5037,Villa Unión,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
6793,2015,5,Coahuila de Zaragoza,5038,Zaragoza,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,1,0,0,0,0,0,0,0,0,0
6891,2015,6,Colima,6001,Armería,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,1,0,0,0,0,0,0,0
6989,2015,6,Colima,6002,Colima,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
7087,2015,6,Colima,6003,Comala,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,1,0,0,0,0,0,0,0,0,0
7185,2015,6,Colima,6004,Coquimatlán,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
7283,2015,6,Colima,6005,Cuauhtémoc,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,1,0,0,0,0,0
7381,2015,6,Colima,6006,Ixtlahuacán,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
7479,2015,6,Colima,6007,Manzanillo,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,1,0,0,0,0,0,0,0,0,0
7577,2015,6,Colima,6008,Minatitlán,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
7675,2015,6,Colima,6009,Tecomán,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,1,0,0,0,0,0,0,0,0,0,0
7773,2015,6,Colima,6010,Villa de Álvarez,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
7871,2015,7,Chiapas,7001,Acacoyagua,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,1,0,0,0,0
7969,2015,7,Chiapas,7002,Acala,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
8067,2015,7,Chiapas,7003,Acapetahua,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,1,0
8165,2015,7,Chiapas,7004,Altamirano,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
8263,2015,7,Chiapas,7005,Amatán,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
